featured,برجسته
targeted,هدفمند
engage,"درگیر شدن، مشارکت کردن"
indigenous,بومی
rugged,"ناهموار، سختگذر"
embarked,"آغاز کرد، شروع کرد"
context,"بافت، زمینه"
acquired,"فراگرفت، به دست آورد"
exposure,"مواجهه، قرار گرفتن در معرض"
central character,شخصیت اصلی
kidnap,ربودن
poisonous,سمی
centaur-like,قنطورسمانند
rescue,نجات دادن
eventually,"در نهایت، سرانجام"
consulting,مشورت کردن
convince,متقاعد کردن
immediate,"فوری، آنی"
impact,"تأثیر، اثر"
persuade,"متقاعد کردن، ترغیب کردن"
spaniards,اسپانیاییها
contact,"تماس، ارتباط"
reluctant,"بیمیل، ناراضی"
cooperate,همکاری کردن
intended,"قصد داشت، در نظر داشت"
intense,"شدید، عمیق"
warmer,"گرمتر، صمیمیتر"
blacktop,آسفالت
gesture,"ژست، حرکت (به نشانه دوستی)"
accumulating,"انباشتن، جمعآوری کردن"
trail,"راه باریک، مسیر"
enriched,"غنی ساخت، پربار کرد"
rejecting,"رد کردن، نپذیرفتن"
progress,پیشرفت
sharing,"تقسیم کردن، به اشتراک گذاشتن"
concern,"توجه، اهمیت دادن، نگرانی"
