emotional intelligence quotient,ضریب هوش هیجانی
income,هر نوع منبع درآمد 
politician,سیاستمدار
financial,مالی
prevent,جلوگیری از
pretend,وانمود کردن
tension,تنش
contend,رقابت
content ,محتوا
intensify,تشدید
extension,مهلت
distend,گشاد کردن - باد کردن
tender,نرم
instruct,دستور دادن
twin,دو قلو
triplets,سه قلوها
quadruplet ,چهارقلو
quintuplet,پنج قلو
belly,شکم
drought,خشکسالی
shallow,کم‌عمق
hemi,نیمه
sphere,گوی - کره
may,امکان داشتن
might,ممکن بودن
mate,رفیق
whistle,سوت
identify,شناسایی
hit,معروف - مد شده
clue,سر نخ
backward,به سمت عقب
odd,عجیب
satisfy,راضی کردن
intellectual,ذهنی
appropriately,مناسب
cranium,جمجمه
led,باعث شد
uni-skill,تک مهارتی
incorporate,گنجاندن - همراه بودن
talent,استعداد
stuck,گیر افتاده
stick,چوب
indoors,داخل ساختمان
beat,شکست دادن
competitor,حریف
sought,جستجو کرد
revenge,انتقام
avenge,انتقام
admit,اعتراف کردن
overwhelming,خردکننده - طاقت فرسا
victor,پیروز - برنده
competitive,رقابتی
vow,قول دادن
opportunity,فرصت
approach,نزدیک شدن
possibility,احتمال
produce,ساختن
jump at the opportunity ,اصطلاح از استفاده کردن از فرصت
former,سابق
conceive,ساختن
crave,درخواست کردن
proverbial,مشهور
take the plunge,دل به دریا زدن
plunge,سقوط کردن - فرو رفتن
conduct,هدایت کردن - اجرا کردن
criteria,معیار ها
conclusion,نتیجه
hypothesis,فرضیه
postulate,ادعا کردن
core,هسته مرکزی
competency,لیاقت - شایستگی
linguistic,مربوط به زبان شناسی
interpersonal,بین فردی
spatial,فضایی
occupation,شغل
pursue,دنبال کردن
gifted,سرآمد
ensure,تامین کردن
novelty,تازگی
innovative,خلاقانه
sculpt,مجسمه سازی
clay,خاک رس
duo,زوج
commitment,تعهد
scent,رایحه
citrus,مرکبات
boast,بالیدن
shelf life,عمر مفید
trivia,بی اهمیت
trivial ,ناچیز
feature,ویژگی (اسم) - برجسته کردن (فعل)
eventually,در نهایت
dynamics,کنش های اجتماعی
fine-tuned,تنظیم شده
constant,ثابت
broader,گسترده
in conjunction with,همراه با
millennium,هزار سال
forefront,خط مقدم - جلودار
standout,برتر
allude to,اشاره کردن
allusion,کنایه
illusion,توهم
elude,طفره رفتن
elusive,دست نیافتنی
imitate,تقلید کردن
come across,مواجه شدن
accept,پذیرفتن
intercept,جلوگیری کردن
recipient,دریافت کننده
anticipate,پیش بینی کردن
captivate,فریفتن
receive,دریافت کردن
capacity,ظرفیت
captor,اسیر کننده
captive,اسیر
downturn,رکود
colleague,همکار
client,مشتری
smuggle,قاچاق کردن
debut,آغاز کار
kidnap,آدم ربایی
ransom,باج
voucher,رسید - سند پرداخت
verbalize your feelings,احساسات خود را به زبان آوردن
verbatim,کلمه به کلمه
